transaksie_id,datum,winkel_naam,klient_id,produk_kategorie,produk,verkoopsprys,kosprys,hoeveelheid
T00330,2024-10-26,Stellenbosch,K0043,Toestelle,Yskas,8158.03,5390.37,1
T00331,2025-03-07,Worcester,K0144,Meubels,Lessenaar,5371.12,3681.44,1
T00332,2025-09-10,Paarl,K0048,Meubels,Kas,5510.96,5045.4,1
T00333,2025-09-16,Paarl,K0116,Meubels,Lessenaar,2461.88,1737.93,2
T00334,2025-09-13,Paarl,K0193,Meubels,Bank,9479.78,6753.3,1
T00335,2024-09-03,Worcester,K0084,Meubels,Lessenaar,4518.42,3020.51,1
T00337,2025-12-23,Worcester,K0101,Toestelle,Droër,7495.29,5245.59,1
T00338,2024-10-25,Paarl,K0173,Toestelle,Mikrogolf,1394.43,915.72,1
T00339,2025-05-01,Worcester,K0062,Meubels,Bank,8303.53,5840.03,1
T00341,2025-08-02,Paarl,K0048,Meubels,Lessenaar,5132.78,3514.93,1
T00342,2025-11-11,Worcester,K0074,Meubels,Lessenaar,6770.69,4744.08,1
T00343,2024-11-21,Stellenbosch,K0092,Toestelle,Mikrogolf,2270.32,1533.86,1
T00344,2024-07-10,Paarl,K0144,Meubels,Bank,9875.39,6322.64,1
T00345,2025-11-30,Worcester,K0107,Toestelle,Mikrogolf,2535.78,1779.42,1
T00346,2025-09-28,Paarl,K0195,Meubels,Eetstel,13567.03,9352.75,1
T00347,2025-02-11,Paarl,K0074,Meubels,Bed,10075.08,6979.98,1
T00348,2024-12-20,Paarl,K0147,Toestelle,Droër,5887.98,3860.08,1
T00349,2024-10-25,Paarl,K0011,Toestelle,Droër,6176.15,4013.11,1
T00350,2025-09-25,Worcester,K0168,Meubels,Kas,4531.85,3255.9,1
T00352,2025-09-23,Stellenbosch,K0151,Meubels,Bank,9694.59,6774.56,1
T00353,2025-06-25,Worcester,K0053,Toestelle,Wasmajien,7620.15,5354.73,1
T00354,2025-01-28,Stellenbosch,K0138,Toestelle,Droër,8752.15,5947.14,1
T00355,2024-12-20,Paarl,K0132,Toestelle,Stoof,5298.3,3554.97,1
T00356,2024-10-06,Stellenbosch,K0168,Toestelle,Yskas,11992.09,7720.21,3
T00357,2024-11-07,Worcester,K0083,Meubels,Bank,12699.92,8449.51,1
T00358,2025-03-11,Worcester,K0162,Toestelle,Mikrogolf,1937.26,1310.85,1
T00359,2025-04-02,Worcester,K0163,Toestelle,Mikrogolf,2554.7,1729.87,1
T00360,2024-10-04,Paarl,K0125,Toestelle,Stoof,9806.38,6322.83,1
T00361,2025-06-01,Worcester,K0118,Meubels,Eetstel,12628.58,8710.26,1
T00362,2025-07-02,Stellenbosch,K0055,Toestelle,Wasmajien,7707.2,5336.45,3
T00363,2025-11-19,Paarl,K0148,Toestelle,Stoof,11367.74,7898.84,1
T00364,2024-11-11,Worcester,K0196,Toestelle,Stoof,7579.81,4915.76,2
T00366,2025-09-25,Paarl,K0177,Meubels,Kas,5811.32,4014.97,1
T00367,2024-11-13,Worcester,K0071,Toestelle,Wasmajien,7083.59,4688.66,2
T00368,2024-10-04,Worcester,K0171,Toestelle,Stoof,10469.54,6969.64,1
T00369,2024-12-17,Stellenbosch,K0194,Toestelle,Stoof,8215.59,5400.35,1
T00370,2025-02-25,Paarl,K0123,Meubels,Eetstel,13719.36,9562.9,1
T00371,2024-09-18,Stellenbosch,K0003,Meubels,Lessenaar,3487.9,2289.04,1
T00372,2024-07-09,Worcester,K0109,Toestelle,Yskas,5690.29,3603.12,3
T00373,2024-11-13,Paarl,K0188,Meubels,Bank,8775.1,5756.95,1
T00374,2024-10-13,Stellenbosch,K0036,Toestelle,Stoof,6168.86,4093.52,2
T00375,2025-07-27,Stellenbosch,K0003,Meubels,Eetstel,14221.23,10111.75,1
T00376,2024-12-16,Paarl,K0039,Toestelle,Wasmajien,4745.29,3238.13,1
T00377,2025-08-26,Worcester,K0026,Toestelle,Wasmajien,2954.67,2020.88,1
T00378,2024-11-21,Stellenbosch,K0081,Toestelle,Stoof,8402.27,5638.43,3
T00379,2024-11-21,Stellenbosch,K0154,Toestelle,Yskas,12697.91,8698.47,1
T00380,2025-04-18,Worcester,K0156,Meubels,Bed,10253.13,6956.32,1
T00381,2025-12-04,Stellenbosch,K0062,Toestelle,Stoof,8016.0,5873.3,1
T00382,2025-11-19,Paarl,K0153,Meubels,Bank,9233.69,6392.92,1
T00383,2024-09-11,Worcester,K0034,Meubels,Bed,13146.72,8875.28,2
T00384,2025-08-01,Worcester,K0045,Toestelle,Stoof,8606.59,5943.34,1
T00385,2025-10-26,Stellenbosch,K0068,Meubels,Lessenaar,4698.08,3383.22,1
T00386,2025-02-06,Stellenbosch,K0161,Meubels,Kas,5783.46,3988.24,1
T00387,2025-11-26,Paarl,K0138,Toestelle,Mikrogolf,2483.62,1762.45,1
T00388,2024-12-04,Paarl,K0053,Meubels,Bed,6913.15,4748.06,1
T00389,2024-12-07,Worcester,K0196,Toestelle,Mikrogolf,2372.51,1585.95,1
T00391,2025-09-18,Stellenbosch,K0080,Toestelle,Droër,7995.3,5742.5,1
T00392,2024-12-27,Stellenbosch,K0042,Meubels,Bank,6816.52,4650.01,1
T00393,2025-11-21,Paarl,K0192,Toestelle,Wasmajien,4888.73,3453.7,1
T00394,2025-04-02,Worcester,K0110,Meubels,Eetstel,12666.55,8722.83,1
T00395,2025-04-05,Worcester,K0148,Meubels,Bed,9871.36,6948.61,1
T00396,2024-09-17,Paarl,K0128,Toestelle,Droër,8025.87,5368.49,1
T00397,2024-12-18,Paarl,K0147,Meubels,Bed,9443.34,6503.22,1
T00398,2024-10-27,Stellenbosch,K0004,Meubels,Eetstel,11612.84,7867.73,2
T00399,2025-03-08,Stellenbosch,K0039,Toestelle,Stoof,7555.86,5100.22,1
T00400,2024-12-31,Stellenbosch,K0107,Toestelle,Wasmajien,7734.06,5258.52,1
T00401,2025-05-24,Paarl,K0129,Meubels,Lessenaar,4259.67,2896.57,1
T00402,2024-08-23,Stellenbosch,K0103,Meubels,Lessenaar,4125.18,2638.72,3
T00403,2024-09-09,Paarl,K0142,Toestelle,Stoof,7850.26,5110.95,1
T00404,2025-10-11,Stellenbosch,K0078,Toestelle,Wasmajien,8738.99,6293.25,1
T00405,2025-03-06,Paarl,K0198,Toestelle,Droër,7211.72,5052.47,3
T00406,2025-01-17,Worcester,K0105,Meubels,Bank,11226.13,7745.06,1
T00407,2024-07-25,Stellenbosch,K0001,Toestelle,Yskas,9652.27,6304.31,3
T00408,2025-07-21,Worcester,K0061,Toestelle,Yskas,6497.77,4424.72,1
T00409,2025-09-03,Paarl,K0024,Meubels,Bank,10693.19,7635.66,1
T00410,2024-08-14,Stellenbosch,K0192,Toestelle,Stoof,10388.22,6842.73,1
T00411,2024-09-25,Worcester,K0101,Meubels,Lessenaar,2943.37,1921.47,1
T00412,2024-09-15,Worcester,K0034,Meubels,Kas,6909.01,4569.63,1
T00413,2025-02-28,Paarl,K0101,Toestelle,Stoof,4752.53,3257.59,2
T00414,2025-05-31,Paarl,K0052,Toestelle,Stoof,11553.62,7751.91,1
T00415,2024-11-17,Worcester,K0116,Meubels,Bank,10637.7,6923.2,1
T00416,2025-10-21,Paarl,K0198,Toestelle,Yskas,9798.27,6945.37,1
T00417,2025-01-29,Paarl,K0031,Toestelle,Mikrogolf,2557.11,1729.44,1
T00418,2024-10-01,Stellenbosch,K0084,Toestelle,Droër,6680.36,4547.78,1
T00419,2024-11-29,Stellenbosch,K0013,Meubels,Bed,8615.6,5688.16,1
T00420,2025-05-03,Paarl,K0116,Meubels,Eetstel,9869.49,6894.57,3
T00421,2025-03-13,Stellenbosch,K0036,Toestelle,Yskas,9341.73,6181.75,1
T00422,2024-11-02,Stellenbosch,K0103,Meubels,Bank,11540.04,7668.68,1
T00423,2025-07-17,Worcester,K0020,Meubels,Lessenaar,3960.24,2835.26,1
T00424,2024-07-23,Stellenbosch,K0024,Meubels,Kas,4832.54,3061.07,1
T00425,2025-06-05,Stellenbosch,K0147,Meubels,Kas,6293.77,4417.06,1
T00426,2025-09-17,Worcester,K0175,Toestelle,Mikrogolf,2010.81,1412.15,1
T00427,2025-09-10,Stellenbosch,K0071,Toestelle,Wasmajien,8543.73,6118.92,2
T00428,2025-04-13,Paarl,K0158,Meubels,Eetstel,16417.79,11567.32,1
T00429,2025-03-09,Worcester,K0141,Toestelle,Mikrogolf,2628.01,1779.4,1
T00430,2025-11-03,Stellenbosch,K0108,Meubels,Bed,9965.38,5045.4,1
T00431,2025-01-21,Worcester,K0098,Meubels,Lessenaar,2659.13,1788.47,1
T00432,2025-07-03,Paarl,K0129,Toestelle,Stoof,6196.76,5045.4,2
T00433,2025-05-26,Paarl,K0153,Toestelle,Wasmajien,7776.49,5486.91,1
T00434,2025-02-10,Stellenbosch,K0121,Toestelle,Yskas,7548.51,5080.87,1
T00435,2025-12-25,Paarl,K0169,Meubels,Bank,10471.21,7587.05,1
T00436,2025-03-04,Paarl,K0100,Meubels,Bank,8483.35,5827.08,1
T00437,2025-06-29,Stellenbosch,K0189,Meubels,Bank,9560.32,6597.78,1
T00438,2025-07-03,Worcester,K0145,Meubels,Bed,10107.28,7051.09,2
T00439,2024-11-23,Worcester,K0045,Meubels,Kas,6739.98,4423.13,1
T00440,2025-11-15,Stellenbosch,K0057,Meubels,Eetstel,15554.51,11255.63,1
T00441,2024-07-21,Worcester,K0158,Toestelle,Yskas,7848.72,5102.81,1
T00443,2024-08-30,Stellenbosch,K0037,Meubels,Lessenaar,5649.27,3782.89,1
T00444,2024-10-22,Worcester,K0170,Toestelle,Yskas,7593.65,5153.51,1
T00445,2025-08-10,Worcester,K0035,Meubels,Bed,7930.02,5495.66,1
T00446,2024-12-09,Worcester,K0045,Toestelle,Mikrogolf,3385.4,2275.16,1
T00447,2025-07-01,Stellenbosch,K0177,Meubels,Kas,7061.63,4835.03,1
T00448,2025-04-28,Stellenbosch,K0147,Meubels,Eetstel,13312.6,9015.45,2
T00449,2025-08-05,Worcester,K0157,Meubels,Bank,13554.52,9571.08,1
T00450,2025-02-12,Worcester,K0191,Meubels,Kas,3644.66,2527.79,1
T00451,2024-09-18,Stellenbosch,K0023,Toestelle,Stoof,8366.02,5608.35,1
T00452,2025-06-09,Paarl,K0178,Meubels,Bed,9241.34,6386.71,1
T00453,2024-09-08,Paarl,K0013,Toestelle,Yskas,9760.4,6300.49,1
T00454,2025-07-31,Paarl,K0127,Toestelle,Wasmajien,7915.88,5464.45,2
T00455,2025-07-23,Paarl,K0148,Toestelle,Yskas,10667.84,7538.75,1
T00456,2025-02-16,Stellenbosch,K0009,Toestelle,Yskas,9918.36,6721.13,1
T00458,2025-06-16,Stellenbosch,K0141,Toestelle,Wasmajien,7311.53,5045.4,1
T00459,2024-10-04,Paarl,K0168,Toestelle,Yskas,6837.89,4408.32,1
T00460,2024-12-16,Worcester,K0085,Toestelle,Wasmajien,8579.73,5581.99,1
T00461,2025-01-27,Stellenbosch,K0187,Toestelle,Droër,6452.53,4251.26,1
T00462,2025-03-29,Worcester,K0013,Toestelle,Stoof,9726.7,6490.91,1
T00463,2025-08-07,Worcester,K0001,Toestelle,Wasmajien,8407.43,6045.57,1
T00464,2025-09-11,Stellenbosch,K0025,Toestelle,Droër,5880.75,4120.01,1
T00465,2024-07-27,Stellenbosch,K0122,Meubels,Bed,7131.01,4755.82,3
T00466,2024-10-27,Paarl,K0170,Toestelle,Mikrogolf,2345.41,1533.47,1
T00467,2025-03-29,Stellenbosch,K0098,Toestelle,Wasmajien,8883.63,6205.19,1
T00468,2025-07-14,Stellenbosch,K0120,Toestelle,Yskas,7210.79,5076.79,1
T00469,2025-03-27,Stellenbosch,K0193,Toestelle,Droër,8236.37,5669.6,1
T00470,2024-10-08,Stellenbosch,K0194,Toestelle,Droër,6735.87,4422.98,1
T00471,2025-02-18,Worcester,K0108,Meubels,Kas,6400.58,4402.98,1
T00472,2025-12-31,Worcester,K0122,Toestelle,Droër,7567.56,5563.18,2
T00473,2025-05-03,Stellenbosch,K0133,Toestelle,Yskas,9164.57,6152.41,1
T00474,2024-11-28,Stellenbosch,K0043,Toestelle,Wasmajien,8598.22,5619.83,2
T00475,2025-02-02,Stellenbosch,K0175,Meubels,Eetstel,13448.13,9118.2,1
T00476,2025-09-19,Stellenbosch,K0187,Meubels,Lessenaar,5909.35,4132.67,1
T00477,2024-09-07,Stellenbosch,K0084,Toestelle,Droër,5965.4,3942.67,1
T00478,2025-04-09,Worcester,K0160,Toestelle,Yskas,11906.77,8042.98,1
T00479,2025-12-18,Paarl,K0146,Meubels,Kas,5369.72,3876.54,1
T00480,2024-10-11,Stellenbosch,K0089,Meubels,Bed,7436.43,4983.73,2
T00481,2025-08-25,Paarl,K0122,Toestelle,Mikrogolf,1997.93,1436.26,1
T00482,2024-08-08,Stellenbosch,K0156,Toestelle,Mikrogolf,2116.1,1424.5,1
T00483,2025-08-16,Stellenbosch,K0013,Toestelle,Stoof,8437.57,5950.02,1
T00484,2025-10-30,Paarl,K0078,Toestelle,Yskas,9468.43,6638.77,1
T00485,2025-05-15,Paarl,K0059,Toestelle,Yskas,10968.64,7361.05,3
T00486,2024-11-15,Paarl,K0107,Toestelle,Stoof,8114.82,5411.44,1
T00487,2024-09-30,Stellenbosch,K0105,Toestelle,Wasmajien,5315.92,3392.25,2
T00488,2025-11-09,Worcester,K0041,Toestelle,Yskas,9764.82,5045.4,1
T00489,2024-09-06,Paarl,K0135,Toestelle,Wasmajien,7249.68,4737.44,1
T00490,2024-07-30,Stellenbosch,K0064,Meubels,Bank,13231.13,8593.52,1
T00491,2024-08-03,Paarl,K0071,Meubels,Bed,6724.52,4472.27,1
T00492,2025-07-13,Paarl,K0062,Toestelle,Yskas,7938.01,5629.71,1
T00493,2025-07-17,Paarl,K0122,Toestelle,Wasmajien,6043.92,4317.49,3
T00494,2025-06-24,Paarl,K0177,Meubels,Bed,10378.03,6994.94,1
T00496,2025-02-05,Stellenbosch,K0105,Meubels,Bank,10573.13,7306.74,1
T00497,2025-12-08,Stellenbosch,K0166,Meubels,Kas,5171.67,3760.62,2
T00498,2024-12-25,Worcester,K0079,Meubels,Bank,13582.33,9072.53,1
T00499,2025-04-08,Paarl,K0056,Toestelle,Stoof,11285.51,7914.99,1
T00500,2025-10-21,Paarl,K0131,Toestelle,Droër,8655.05,5999.98,1
